id,id2,txt
56,$018,"Entrega do amuleto para Richton. Está a enfrentar o governador em relação ao Iszara. Richton diz que Iszara era uma consorte conhecida da Liga Inquieta, mas nega conhecimento ou responsabilidade pelo seu desaparecimento. Richton ameaçado. O agente elfo negro do governador, Dram, lançou um feitiço mágico. Ela acordou despojada de todos os seus bens e presa."
57,$019,"Um prisioneiro da Liga Inquieta, a morrer, disse algo sobre ir a um farol para fazer um sinal à Liga. Recebeu uma chave oxidada."
58,$020,Ele soube da existência de um tesouro lendário chamado o frasco de Lillandril.
59,$021,Um jovem Yokudan chamado Hayle foi morto pelos Imperiais. O Avik chama-lhe homicídio. A família da Hayle acampa-se fora da cidade à espera de completar o ritual de sepultamento.
60,$022,"Joto, membro da Guilda dos Magos e amigo de Avik, foi detido pelos imperiais."
61,$023,"Krisandra diz que Lakene, um homem de mão local, foi até ela para substituir um antigo medalhão de prata da sua mulher que Lakene perdeu enquanto jogava no Smuggler's Den. Quando Krisandra lhe disse que não podia ajudá-lo, ele ficou muito angustiado."
62,$024,"Prnell diz para contactar a Liga Inquieta através da Guarda do Contrabandista debaixo da loja da Maiko, mas que preciso de um código para entrar."
63,$025,Tive de matar dois soldados imperiais que tinham entrado na casa ao lado do prateador.
64,$026,"Krisandra deu-me uma chave e convidou-me a procurar no seu armazém um navio de prata com a inscrição de um pedaço do mapa do frasco de Lillandril. Se o encontrar, diz para ficar com ele."
65,$027,"Favis diz que o sino está partido. Examinado o sino, parece estar em perfeito estado de funcionamento."
66,$028,"Lakene diz que vai dar o código, mas só se eu recuperar o medalhão da sua mulher do Rollo."
67,$029,Gerrick diz que o Rollo deve ir buscar carregamentos ao porto sempre que ouve um sino tocado por um tipo chamado Favis. Tocar o sino anuncia a chegada de um navio.
68,$030,"Favis diz que um companheiro da torre de vigia, Prnell, agita uma bandeira quando um navio chega, indicando a Favis para tocar o sino. Favis reclama que o Prnell nunca deixa Favis levantar a bandeira."
69,$031,Ele tomou emprestado de Prnell a bandeira usada para indicar a chegada de um navio ao porto.
70,$032,"Prnell diz que perdeu um olho. A sua visão é muito má, e ela quer mesmo o óculos."
71,$033,"Nidal diz que o seu antigo iniciado, o irmão Kithral, desapareceu."
72,$034,"Nidal diz que viu pela última vez o iniciado desaparecido, o irmão Kithral, a ir ao parque para colher raízes de mandrágora. Nidal acha que os homens do Richton são responsáveis pelo desaparecimento do Kithral."
73,$035,Saban diz que pode encontrar a Liga Inquieta no farol.
74,$036,"Trithik diz que todos os traves de Stros M'kai estão banidos sob a terra de Stros M'kai, graças a Frandar Hunding."
75,$037,"Falicia diz que a Liga Inquieta tinha obtido uma soulgem que continha a alma do príncipe A'tor e estava usando-a para reunir partidários, mas Iszara, impaciente com o atraso, roubou a soulgem e levou-a para a Guilda de Magos em busca de ajuda. Um membro da Guilda, um acólito chamado Joto, concordou em ajudar Iszara a investigar uma forma de usar a alma para restaurar o príncipe. Então, depois de um elfo negro ter vindo falar com o arquimago Jaganvir, Joto foi preso e encarcerado por traição ao Império. Falicia não sabe o que aconteceu com Iszara, mas diz que Joto é o único que pode me dizer, e está preso."
76,$038,"Joto dissipou o encantamento de mudança de gremlin de Jaganvir. Joto acha que o Necromante N'Gasta tem o Iszara. Joto diz que N'gasta era o único feiticeiro que podia usar a sua magia para restaurar A'tor do soulgem. Como N'gasta é mau e pouco confiável, Joto e Iszara planejavam usar a antiga magia elfica do frasco de Lillandril como proteção quando negociassem com o malvado N'gasta. Joto e Iszara tinham encontrado um pedaço do mapa, e depois Joto encontrou outro, mas antes que Joto pudesse dar o seu segundo pedaço a Iszara, ela tinha desaparecido, e Joto tinha sido preso pelos imperiais. Joto deu-me o segundo pedaço do mapa, e disse-me que se eu ia enfrentar o N'Gasta para encontrar o Iszara, eu devia ter o frasco de Lillandril. Então, de repente, o elfo negro do governador apareceu na prisão, matou Joto e atacou."
77,$039,"O jovem Yokudan, Coyle, conta que Iszara foi com seu irmão ferido Hayle a Saban para pedir ajuda no dia em que Hayle foi morta. Iszara tentou explicar-lhe, mas Saban estava demasiado perturbado para o ouvir."
78,$040,Coyle diz que a sua mãe Saban diz que é preciso um feiticeiro poderoso para usar o poder de uma soulgem. O Coyle diz que a mãe é tão poderosa.
79,$041,Coyle diz que o necromante N'gasta estabeleceu uma alma-snare sobre toda a ilha de Stros M'kai. Quem morre sem o ritual apropriado leva a alma para a torre de N'Gasta para servir ao Necromante.
80,$042,"Coyle diz que sua mãe é uma feiticeira poderosa, e que poderia facilmente guiar a alma de seu filho Hayle além do soulsnare de N'gasta, exceto que Hayle nasceu sob o signo da serpente. As outras doze constelações seguem os círculos do céu, mas nem Coyle nem a mãe sabem prever o caminho da serpente. A única forma de guiar a alma da Hayle através do soulsnare é colocar as pedras estelares nas posições da cabeça e da cauda da serpente."
81,$043,"Coyle recitou o verso sobre o Guerreiro Guardião: Cordeiro de Caminho... Dama Dançante... Senhor Avançando... ""Por toda a noite""."
82,$044,"Coyle recitou o verso sobre o Mago Guardião: Aprendizagem de Aprendizes... Ritual Turning... Queimar o Golem... ""Por toda a noite""."
83,$045,"Coyle recitou o verso relativo ao Ladrão Guardião: 'Ladrão Astuto Vigia... Amado Suspirando... A sombra está a mentir... A Torre Defiante... ""Por toda a noite""."
84,$046,"Coyle diz que a sua mãe Saban pode proteger a alma do seu irmão Hayle de N'gasta porque é uma bruxa poderosa, a bruxa mais poderosa da sua tribo."
85,$047,"Coyle diz que sua mãe Saban diz que a magia do campo de estase do Arquimago Voa é muito forte para ela, que eu devo encontrar uma maneira de livrar o corpo do Príncipe do campo de estase antes que ela possa ajudar."
86,$048,"Com o soulgem e o anel de Voa na mão, e Saban para fazer funcionar a sua magia, eles procediam ao templo para restaurar e reviver o Príncipe A'tor. Iszara, Basil e o resto da Liga observaram Saban tentar restaurar o Príncipe. No entanto, a alma de A'tor não foi para o seu corpo, mas para a sua espada. Com esta espada, liderarei a Liga Inquieta e dirigirei-me ao palácio para derrubar o governador e a ocupação imperial."
87,$049,"Erasmo delicia-se com fantasmas no farol de Saintsport que o mantêm acordado a noite toda, piscando flash, flash, flaaaash."
88,$050,"Erasmo afirma que ele arranjou o oratório, mas que não pode arranjar o telescópio porque lhe falta uma engrenagem. Diz que tentou arranjar o telescópio, mas queimou as pernas na sala de engrenagens."
89,$051,Equipamento anão instalado. O telescópio do observatório já está arranjado.
90,$052,"Maiko concordou em fazer um mapa detalhado usando as anotações do livro Artefatos Elficos... Mas em troca, a Maiko fica com o livro. A Maiko diz para voltares daqui a pouco pelo mapa."
91,$053,Maiko deu-me um mapa associado ao frasco de Lillandril baseado nas anotações do livro Artefatos Elficos.
92,$054,Caça-dragão. Recuperado soulgem. Escapou das catacumbas.
93,$055,"N'Gasta extraiu a alma de Iszara do seu corpo e entregou-a ao seu patrão, o Daedra, o Lorde Clavicus Vile. Iszara foi a N'gasta trocar a sua alma pela ajuda de N'gasta para restaurar a alma do príncipe A'tor do soulgem ao seu corpo preservado. N'gasta aceitou o acordo e roubou traiçoeiramente a alma e o soulgem de Iszara. O amuleto que N'Gasta pagou para entregar a Richton continha a alma de A'tor. Para restaurar Iszara, a sua alma deve ser recuperada do Clavicus Vile."
94,$056,Enfrentaste o Clavicus Vile e apostaste a minha alma contra a de Iszara num concurso de enigmas. Ganhas o concurso de enigmas e voltas para a Torre do Negromancio com a alma de Iszara.
95,$057,"Restaurou a alma de Iszara. Juntos, escaparam da Ilha dos Negromantes. Foram a Stros M'kai, chamaram o navio da Liga e navegaram para se reunirem com a Liga no seu esconderijo. Revelou que Richton tem a alma em forma de uma pedra preciosa, que lhe foi dada por N'Gasta. Prometeu matar o dragão e recuperar a alma gem das cavernas do tesouro das catacumbas, e encontrar alguém capaz de dominar o poder da alma gem para restaurar o príncipe A'tor. De Iszara, arranja uma chave de ouro para entrar nas catacumbas. Quando a alma gem estiver em seu poder e encontrar alguém capaz de fazer funcionar a magia da alma gem, reúna-se com Iszara, Basil e o resto da Liga no templo onde o irmão Nidal tem o corpo de A'tor escondido."
96,$058,Entregaste-lhe o medalhão da mulher de Lakene e recebeste em troca o código da Guarda do Contrabandista. A senha é cucha.
97,$059,"Tenta entrar pela porta que está debaixo da loja do cartógrafo, mas não sabe a senha e é negado a entrada."
98,$060,Obtive de Urik um pergaminho de Iszara com a insígnia da Liga Revoltosa.
99,$061,"Em resposta ao sinal do farol, chegou um navio capitaneado por uma mulher Redguard."
100,$062,"A capitã do navio que respondeu ao sinal da Liga do farol não cooperará a menos que lhe dêmos provas de que sou digno da atenção da Liga, provas suficientes para justificar o risco de me levar para o esconderijo da Liga."
101,$063,"Da papagaio reconstruiu o seguinte: ""A irmã bonita tinha os seus planos. Parece que desta vez precisava de ouro. Vinte e um passos. Como a cabeça olha. ""Enterrado ali, o ouro ainda brilha""."
102,$064,Recuperaste uma equipa anã dos restos do gigante mecânico anão.
103,$065,"Encontre o lendário frasco de Lillandril, um antigo artefato elfico com a virtude de absorver magia."
104,$066,"Basil deu-me uma chave da loja de Iszara e sugeriu-me que procurasse pistas sobre o seu paradeiro. Em particular, ele mencionou um diário que não podia abrir. Em troca de conhecer o conteúdo do diário, Basil promete contar tudo o que sabe sobre o desaparecimento de Iszara."
105,$067,"Basil contou a história da derrota do príncipe A'tor e suas forças nas mãos dos imperiais, como o assassino elfo negro de Richton matou A'tor com uma flecha envenenada, como um dragão imperial derrotou os seguidores de A'tor e como o arquimago Voa preservou a alma do príncipe moribundo em um soulgem. Em seguida, revelou que a Liga havia tomado a alma gem e planejava desencadear uma revolução com a perspectiva de que o Príncipe recuperado da alma gem liderasse a Liga e os seguidores de A'tor contra os imperiais. Basil também conta como Iszara roubou a alma da Liga e desapareceu. ""Encontre a alma gem, e encontrará Iszara"", diz Basil. Depois de ouvir Basil, eles navegaram do Escondite da Liga de volta para Stros M'kai."
106,$068,"Com um corpo encontrado nas cavernas, encontramos o diário do irmão Kithral, que refere a sua busca pelo anel do Arquimago Voa'."
107,$069,Encontramos o corpo do Arquimago Voa e recuperámos o seu anel mágico.
108,$070,Ele escapou da prisão imperial nas catacumbas. Os guardas imperiais atacarão-te assim que te virem.
109,$071,O Dreekius diz que a Siona quer ver-me.
110,$072,Crendal diz que escondeu o seu pedaço do mapa do frasco de Lillandril onde outros não o possam encontrar.
111,$073,O irmão Nidal revela que Iszara e o príncipe eram amantes secretos.
112,$074,"Siona diz para não confiarmos no Brennan, que ele é um traidor."
113,$075,Siona disse que ouviu os Guardiões Imperiais falarem que a Brennan tinha sido paga para dar uma armadilha a aquele Redguard que o Governador gosta tanto.
114,$076,"Depois de escapar da prisão, escapou da perseguição do guarda. Se o Joto estava certo, e o N'gasta tem o Iszara, ele deve encontrar o frasco de Lillandril para se proteger da magia do N'gasta."
115,$077,"Tobias diz que o irmão Kithral (um irmão de Arkay) e Iszara desapareceram quase ao mesmo tempo, e que se conheciam."
116,$078,O Crendal diz que conseguiu um pedaço do mapa do frasco de Lillandril roubando-o. Diz que o encontrou debaixo de uma cama no barco do Trithik.
117,$079,"Os homens da Liga Inquieta aproximaram-se e perguntaram ao Avik sobre uma mulher após a morte da Hayle. Avik não lhes disse nada, mas revela que viu Hayle e Iszara juntos no dia em que Hayle foi morta."
118,$080,"J'ffer conta que, segundo a lenda, um criado armado com o frasco de Lillandril derrotou o Grande Mago de Valenwood. O artefato pode então ser um poderoso dispositivo antimágico, talvez um que absorva magia."
119,$081,"Quando lhe perguntaram por onde chegar ao Draggin Tale, o Capitão Brennan disse para subir pela ponte à direita, atravessar o portão da praça da cidade e procurar o cartaz."
120,$082,"De S'rathra, o meu fiador em Wayrest, recebi uma carta de Tobias sobre o desaparecimento da minha irmã, Iszara. Vai para a ilha de Stros M'kai, em Hammerfell."
121,$083,"Após uma recente guerra civil, o Império Tiber Septim governa Hammerfell. Uma facção da Guarda Vermelha, os Forebears, aliou-se ao Império para derrotar a facção oposta da Guarda Vermelha, as Coroas, que favoreciam o governo do Rei Thassad e seu filho e herdeiro, o Príncipe A'tor."
122,$084,"Com Thassad morto, e o Príncipe A'tor derrotado pelo Almirante Imperial Richton na batalha final de Stros M'kai, as guarnições Imperiais estão estacionadas em cada cidade de Hammerfell, e Lord Richton reina como Governador Provisório em Stros M'kai."
123,$085,"Por Trithik soube que o príncipe A'tor tinha acordos com a Liga Inquieta, embora as Coronas considerassem a Liga não ser confiável."
124,$086,"Trithik diz que o Governador Richton ordenou destruir o Casco Antigo, refúgio das Coronas, com fogo de dragão."
125,$087,"Segundo Trithik, embora o corpo do príncipe A'tor tenha sido perdido no mar, já há profecias de seu retorno."
126,$088,"Quando sugeri falar com Richton, Trithik disse que não se permitem guardas vermelhos no palácio."
127,$089,A Falicia disse que ouviu o mapa do frasco de Lillandril quebrar-se em quatro pedaços. Diz que um pedaço estava inscrito no fundo de uma caixa de prata em forma de barco.
128,$090,"O arquimago Jaganvir surpreende Falicia falando-lhe de Iszara, Joto e o soulgem. Jaganvir lança um encanto transformando-me num gremlin para impedir que eu revele esta informação a ninguém."
129,$091,Gremlin. Yuppee nuvem nuvem. Lalloo! - Não! Enj! Procura! Volte para forma negra!
130,$092,Gremlin. Yuppee nuvem nuvem. Lalloo! - Não! Enj! Eu! Bak! Preciso! Mago!
131,$093,Siona diz que pode contactar a Liga Inquieta através da Guarda do Contrabandista no porão de Maiko.
132,$094,A Mariah diz que a Liga Revoltosa pode ser contactada através da Guarda do Contrabandista.
133,$095,Aceitar ajudar a encontrar uma maneira de ajudar a mãe do Coyle a completar o ritual que preservará a alma do seu irmão da necromante Soulsnare.
134,$096,Colocar as pedras estelares corretamente permitiu a Saban completar o seu ritual e garantir uma viagem segura para o outro mundo para a alma de Hayle.
135,$097,"A maldição de um necromante afeta Stros M'kai. Segundo Trithik, os bancos de areia onde o necromante está estão a oeste, ao longo de um caminho sobre uma ponte."
136,$098,Siona diz que é amiga de Tobias e que está contente por me ajudar.
137,$099,"Siona diz que Richton está acompanhado por um assassino elfo escuro de olhos vermelhos, Dram, de Morrowind."
138,$100,É preciso um código para entrar na Guarda do Contrabandista.
139,$101,"Siona insinuou que Iszara era amiga - boa amiga - do príncipe, e que talvez por isso ela desapareceu quando Richton chegou à cidade."
140,$102,"Siona diz que o palácio do governador está a subir o morro - não tem perda -, mas não esperem para se infiltrar."
141,$103,"Segundo Siona, o dragão usado pelos imperadores para derrotar as coroas ainda está nas catacumbas abaixo do palácio."
142,$104,"O palácio do governador está no topo da colina... a estrutura mais grandiosa de Stros M'kai, segundo Kotaro."
143,$105,"A Mariah disse que a última vez que viu o Iszara, ele estava a caminho do Cartographer's."
144,$106,"A Mariah diz que viu membros da Liga a entrar e sair da Guarda do Traficante, debaixo da do Cartógrafo."
145,$107,Gerrick está preocupado que Iszara tenha procurado malaquita através da Guarda do Contrabandista.
146,$108,"Gerrick acredita que a Liga Inquieta está ligada aos contrabandistas que operam na Guarda do Contrabandista, debaixo da loja do Cartógrafo."
147,$109,"Quando Prnell vê um barco, ele sai para a passarela e agita uma bandeira para que Favis saiba que deve tocar o sino."
148,$110,Nidal sugere que o anel de Voa poderia dissipar um campo de estase no corpo de A'tor.
149,$111,"Nidal revelou que o corpo de A'tor está escondido no templo, preservado da decomposição por um feitiço de estase. Nidal sugere que o anel de Voa poderia dissipar um campo de estase no corpo de A'tor, mas não dá nenhuma sugestão de por que Kithral ou Iszara tentariam."
150,$112,"Nidal sugere que Iszara e Kithral planejavam usar o anel de Voa para dissipar o campo de estase no corpo de A'tor, permitindo assim uma transferência da alma de A'tor do soulgem de volta ao corpo do Príncipe..."
151,$113,Nidal concordou que Iszara e Kithral não planejavam dissipar o campo de estase do corpo preservado de A'tor só para deixar o corpo do Príncipe apodrecer. Devem ter pensado noutro uso para o anel.
152,$114,"Nidal revelou que o corpo de A'tor está escondido no templo, preservado da decomposição por um feitiço de estase."
153,$115,"Nidal diz que não pode fazer magia do soulgem, que precisa de um mago."
154,$116,"Nidal diz que o campo de estase bloquearia a magia da alma gem, mesmo que um mago estivesse disponível."
155,$117,"Nidal diz que preciso do Anel para dissipar o campo de estase, mas que o Anel também está além da sua habilidade."
156,$118,"Nidal diz que não pode fazer magia do anel, que precisa de um mago."
157,$119,"Nidal diz que precisaria da soulgem para restaurar o príncipe, e que a magia da soulgem está além da sua habilidade."
158,$120,"Para restaurar o Príncipe, encontra um mago que possa fazer funcionar a magia do soulgem e do anel."
159,$121,"Nidal diz que o anel só dissiparia o campo de estase, fazendo com que o corpo do Príncipe se transformasse em pó. Encontre o soulgem para restaurar o príncipe."
160,$122,"Coyle fala dos três círculos dos céus, e dos três guardiões que protegem seus três cargos, cada um em seu círculo do céu."
161,$123,O Erasmo diz que não desce para a sala de engrenagens. Vai para a sala de engrenagens e instala a engrenagem no lado mais distante para arranjar o telescópio.
162,$124,Erasmo diz que é preciso um engrenagem anão para arranjar o telescópio... Não qualquer engrenagem.
163,$125,Erasmo está contente por o telescópio estar arranjado.
164,$126,Usaste o frasco de Lillandril para derrotar o necromante N'gasta.
165,$127,Mistura de poções. Despeja as poções no segredo mágico do chão da sala da torre de N'Gasta para abrir uma porta para o reino do Senhor Daedra Clavicus Vile.
166,$128,"Kotaro identifica N'gasta como um velho eremita inofensivo que vive na torre do velho mago, nas bacias do noroeste da ilha."
167,$129,Kotaro diz que os supersticiosos habitantes do local chamam N'Gasta de necromante.
168,$130,"Mariah lembra-se de ver o menino Aray, Kithral, visitando o parque, contemplando a cascata e escrevendo no seu diário. Ele também o descreve como um ""Corona apaixonado"" e acha que não o vê há meses."
169,$131,"O parque fica na cascata, diz a Mariah."
170,$132,"N'Gasta diz que entregar o amuleto ao governador pessoalmente, e que o contratado pagará o resto da taxa após a entrega."
171,$133,"Iszara está entre os vivos, garante N'Gasta, ou saberia o contrário."
172,$134,"N'gasta concede que o Grêmio de Magos se opõe à prática de seu ofício, mas que o governador o favorece em relação aos do Grêmio de Magos."
173,$135,"O captor de almas de N'Gasta captura os espíritos defuntos dos ""tonto que negligenciam a santidade de suas almas""."
174,$136,"A armadilha das almas só captura espíritos que não estão protegidos por rituais sagrados, ou que foram enterrados em terra profana, segundo N'gasta."
175,$137,"N'gasta serve o Príncipe Daedric Clavicus Vile, e afirma que Vile concede favores em troca de cada alma que N'gasta lhe entrega."
176,$138,"A propósito, N'gasta menciona que só um irmão de Arkay está vivo, já que o outro caiu na sua rede há três luas maiores... mais ou menos na mesma época em que Iszara desapareceu."
177,$139,"A propósito, N'gasta menciona que só há um irmão de Arkay vivo, pois o outro caiu na sua rede há três luas maiores... Mais ou menos ao mesmo tempo em que Iszara desapareceu."
178,$140,Lakene diz que os Imperiais estão à procura dos antigos tesouros tecnológicos dos Anões nas ruínas das montanhas.
179,$141,Hayle nasceu sob o signo da serpente. Avik diz que os yokudans acreditam que as estrelas guiam o nosso destino desde o nascimento até à morte e além.
180,$142,"A mãe de Hayle, Saban, não pode completar o ritual de sepultamento do menino morto porque tem de proteger o seu espírito da armadilha de almas posta por N'gasta. Segundo o Avik, esta armadilha envia o espírito do falecido para N'Gasta, a menos que a vítima seja enterrada em terra consagrada."
181,$bel,Examinar o sino
182,$but,Ilumina o troll com a tocha
183,$can,VELHA DE PROVA QUE CAIA
184,$ct1,Insere a runa na mosca
185,$ct2,Remover a escória da mosca
186,$ct3,Recuperar a Runa
187,$ct4,Examinar o bloco solto
188,$ct5,Afrouxar o bloco com a chave
189,$ctd,Vira o diâmetro
190,$ctg,Obter a chave
191,$cth,Cortar corda
192,$ctk,Coloque a chave na fechadura
193,$ctl,Tirar da palanca
194,$ctp,Presione o painel
195,$ctt,Lâmpada
196,$ctw,Deslizar peso
197,$ctx,GARRAR Peso
198,$cv1,SEGURAR a folha no fogo
199,$cv2,Roubar um corpo
200,$cv3,Barril de luz
201,$cv4,Examinar a Meca
202,$cv5,Examinar a diferença
203,$cv6,Usar talismãs na fenda
204,$cv7,Maria da Luz
205,$dr1,Olha para a porta.
206,$dr2,Tradução:
207,$dr3,Olhe para o artefato.
208,$dr4,Entrar nas ruínas anãs
209,$ds1,LIGAR O VAPOR Até a metade
210,$ds2,Ligue todo o vapor
211,$ds3,Apagar o vapor
212,$ds4,A porta está aberta.
213,$ds5,girar a roda
214,$ds6,GIRAR A RODA
215,$ds7,Olha para a Mãe! Não há costuras!
216,$ds8,matar o golem
217,$ds9,Procure o golem.
218,$dsa,cortar o cabo
219,$dsb,Continuar
220,$dsc,LEIA O LIVRO
221,$ebt,Entrar no campanário
222,$ect,Entrar na loja
223,$edt,Entrar no Dragin' Tale
224,$edw,Entrar na vida
225,$egg,Entrar na mercadoria de Gerrick
226,$eht,Entrar na torre do porto
227,$ehu,Entra nas Catacumbas
228,$ejb,Entrar nos livros de J'FFER
229,$ejl,Entrar na prisão
230,$emg,Entrar no Grêmio de Magos
231,$ent,Entra na torre de N'Gasta.
232,$eob,Entrar no observatório
233,$epl,Entrar no palácio
234,$esd,Sair da guarda do contrabandista
235,$esh,Entrar no casco do barco
236,$ess,Entrar em prata
237,$esx,Sair do casco do navio
238,$etp,Entrar no templo de Arkai
239,$ewh,Entrar no mercado
240,$exb,Sair do campanário
241,$exc,Sair do cartógrafo
242,$exd,Sair da vida
243,$exe,Saindo do Templo
244,$exf,Sair do J'FFER'S
245,$exg,Sair do Gerrick's
246,$exh,Sair da torre do porto
247,$exj,Sair da prisão
248,$exn,Sair da Torre de N'Gasta
249,$exo,Sair do Observatório
250,$exp,Sair do palácio
251,$exr,Sair do Dragin' Tale
252,$exs,Sair do Almaçã
253,$ext,Sair das catatúbas
254,$exv,Sair da Praça
255,$fba,Encha a garrafa de vidro com a mistura de água e aloe
256,$fbw,Encha a garrafa de vidro com água
257,$fbx,Misturar Aloe em Água
258,$fby,Encha o balde com água
259,$fl1,Tirar o frasco
260,$gc1,Recuperar a rocha
261,$gc2,Colocar a pedra
262,$gsg,Obter a jóia da alma
263,$gwa,Obter a mistura de água e aloe
264,$gwt,Obter água
265,$hi1,Usar sangue na fechadura do diário
266,$hi2,Utilizar a chave no fechadório do diário
267,$ing,Insira engrenagem
268,$kod,A porta bateu
269,$lh2,Olhar para a pilha funerária
270,$lhl,Fogar uma pira funerária
271,$lkh,Olhe para o olho da fechadura
272,$ltt,Olhar através do telescópio
273,$mg1,Sair da Guilda dos Magos
274,$mg2,Desbloquear a porta
275,$mg3,Examinar cofre
276,$mg4,Olhar para a piscina
277,$mg5,Olha para o livro.
278,$ms1,LEIA O SIGNAL
279,$nl1,Puxar a alavanca
280,$nb1,Pegue a palha
281,$ng1,Forçar o Porto
282,$ng2,abrir a porta
283,$ntb,Olha para a mesa.
284,$nw1,GIRAR A RODA
285,$ne1,Olhe para o caldeirão.
286,$ne2,Preencher o VALÓIO com ELIXIR
287,$nv1,Recogida Vial
288,$np1,Verter o elixir no poço
289,$ns1,Olhar para a estante
290,$ob1,Examinar a floresta
291,$odr,Abre a porta
292,$ofa,Oferta de Amuleto
293,$ofb,Oferta de Livro
294,$ofc,Oferta de Rodeio
295,$ofe,OFFER Ectoplasma
296,$off,Oferta de pena
297,$ofg,Oferece ouro
298,$ofh,oferta de sálvia de HIST
299,$ofk,oferecer chave
300,$ofr,RINGO DE OFRENTA
301,$ofo,Oferecer sangue de orco
302,$ofp,Oferece Poção
303,$ofs,Oferecer leite de aranha
304,$oft,Oferta de tocha
305,$opc,abrir cofre
306,$ow1,GIRAR A RODA
307,$pab,Pagamento ao marinheiro
308,$pbr,TIRAR A CABEÇA DO CINEL
309,$pdg,Recuperação Equipa Anão
310,$pec,Recogida de ectoplasma
311,$pff,Lutar com o passado
312,$pfl,"""Recolher a bandeira"""
313,$pfi,Recuperar frasco de lilandril
314,$pg5,Recuperar 5 peças de ouro
315,$pga,"""Recolher 10 peças de ouro"""
316,$pgb,Recuperar Botas de Vidro
317,$pgm,Recuperar o monóculo de cristal
318,$pgo,Recolher o ouro
319,$pgp,Recolher 300 moedas de ouro
320,$phs,Recogemos a sua sabedoria
321,$pi1,Mover o carro
322,$pob,Recolher o sangue do Orco
323,$poe,Recogida de equipas
324,$pof,Apagar o fogo
325,$pop,Recuperar a bolsa
326,$ppe,GORRAR MESSAGEM DE Ectoplasma Sobre o símbolo
327,$pph,DIPARARAR A MESSA DE HISTAS SAVIAS DO SUL DO SIMBOLO
328,$ppo,Driplar a mistura de sangue de orco sobre o símbolo
329,$pps,Gritar a mistura de leite de aranha sobre o símbolo
330,$puh,Recolher a Poção da Saúde
331,$pui,Recolher Poção de Pele de Ferro
332,$pus,Recuperar a Poção da Força
333,$put,Recuperar a tocha
334,$psl,Recuperar o medalhão de prata
335,$pss,Recuperar o navio de prata
336,$psm,Colher o Leite de Aranha
337,$pth,Recuperar o talismã da caça
338,$sb1,Examinar o corpo
339,$sb2,Examinar o corpo
340,$sou,Sublimar sangue de orco com chifre de unicórnio
341,$sod,Sublimar o sangue de orco com o coração de deada
342,$sos,Sublimar o sangue de orco com a salamandra
343,$soa,Sublimar o sangue de orco com âmbar
344,$soe,Sublimar o sangue de orco com a orelha de Spriggan
345,$soh,Sublimar o sangue de orco com pêlo de santo
346,$sop,Sublimar o sangue de orco com saco de porco
347,$sol,Sublimar o sangue de orco com pó de liche
348,$ssu,Sublimar Leite de Aranha com Corno de Unicórnio
349,$ssd,Sublima o leite de aranha com o coração de uma cadela
350,$sss,Sublimar o Leite de Aranha com a Salâmandra
351,$ssa,Sublimar o leite de aranha com âmbar
352,$sse,Sublimar o leite de aranha com a orelha de Spriggan
353,$ssh,Sublimar o leite de aranha com pêlo de santo
354,$ssp,Sublimar Leite de Aranha com Saco de Porco
355,$ssl,Sublimar o leite de aranha com pó de leite
356,$seu,Sublimar o ecotoplasma com cornos de unicórnio
357,$sed,Sublimar o ectoplasma com o coração de morte
358,$ses,Sublimar o ectoplasma com salâmandra
359,$sea,Sublimar o ectoplasma com âmbar
360,$see,Sublimar o ectoplasma com a orelha de Spriggan
361,$seh,Sublimar o ectoplasma com cabelos de santo
362,$sep,Sublimar ectoplasma com saco de porco
